document_id,clean_text,Sentiment
11,"I've said this before about Marvel movies: they are a victim of their own success. ""Shang-Chi"" had to follow up a decade and a half of quality MCU movies, so the same movie that would've been a smash 10 years ago isn't viewed quite the same today. The movie was good, but it failed to really separate itself.""The Legend of Ten Rings"" as a title already sounds too much like LOTR. And in fact it was something like it in that he with the rings had the power. Xu Wenwu (Tony Leung) had the ten rings which gave him near omnipotence. With the ten rings he could defeat entire armies and live forever. He decided to use the rings to become a tyrant.He was willing to put his rings aside and grow old for the love of his life, a woman he found after living 1000 years. I thought it was a bit strange that it took the man 1000 years to find his true love, but I didn't dwell on it.Stranger than him taking a thousand years to find his true love was the woman who fell in love with him. She lived in a secret magical village in Macao that was totally isolated from the rest of the world. She was a gentle benign character who had powers herself and was able to defeat Wenwu when he came to essentially conquer her village. Somehow, through their Crouching Tiger, Hidden Dragon-esque battle they fell in love. Maybe that makes sense for him being that he finally found someone who could defeat him, but it didn't make sense for this nearly pure woman to fall for a man with a 1000 year history of tyranny.Still, they wed, forsook their powers and started a family.Their family would be unceremoniously destroyed when an old foe of Wenwu--a vicious gang--came by their house to get their pound of flesh and killed Wenwu's wife, Li (Fala Chen). Li could've attempted to barter with them for some sort of material exchange for their past losses, but instead she immediately decided she'd try to fight the entire gang and lost her life in the process. That would cause Wenwu to don the ten rings again and return to tyranny.So, if you're keeping score on Wenwu's wife, 1.) she was smitten with a man who came to destroy her village and 2.) she chose to fight an entire gang with no powers to speak of and with no attempts to negotiate.I recognize that it was a plot device to advance the plot, but it could've been done a lot better and with more tact. Her character never struck me as someone impulsive and/or not able to judge character yet she exhibited both flaws.Most of what I've covered was garnered throughout the movie via flashbacks. The real main character was Saun aka Shang-Chi (Simu Liu). He was the son of Wenwu and Li. Years later we see an adult Saun. He lives in SF and is a valet. He is violently thrust back into the life he ran away from when his father's goons came for the pendant around his neck given to him by his mother. It was at this point we learned his backstory, of which I've given some already. We find out he also has a sister, Xialing (Meng'er Zhang), who Disney not so subtly informed us she had to train herself to become a fierce warrior because of her gender. The two of them had been split up for close to twenty years when Saun ran away after being trained to be an assassin by his father. He was fourteen at the time and she was ten when he promised her he'd be back. He never came back and when they met again in Macao as adults she held the same ten-year-old bitterness against him for running away as though a fourteen-year-old should've been more reliable. She greeted him with a butt-kicking that was twenty years in the making. It's clear that it never crossed her mind that he may have been killed, or maybe she would've considered his death a betrayal as well. Either way it was a completely childish way to handle reuniting with your long lost brother.The two of them would join forces along with Saun's friend Katy (Awkwafina) and really quickly to stop their father. He was going to use the ten rings to breach a portal to another dimension which contained some soul-sucking demons.The introduction of demons to the movie did offer some excitement. It upped the stakes of everyone involved and thrust another Marvel character into the role of saving the world.Saun would save the world with the help of his friends and family. Some would die, but the most important characters lived. I was somewhat satisfied with the movie. The acting was commendable and Awkwafina was good as the comic relief. ""Shang-Chi"" may just be the placement of a singular brick to build to something bigger, I just hope what Marvel is building towards is worth it.",negative
12,"""The US government was almost toppled by a pretender named after an orange."" Wenwu (Tony Leung)This quote is typical of the light-hearted but also serious addition to the MCU that is Shang-Chi and the Legend of the Ten Rings. Although Marvel has always been less serious than DC, this time it leaves Superman and Batman to cry in their capes. Sweet superhero Sean/Shang-Chi (Simu Liu) has more humanity than almost any other hero, and he uses his martial arts only when pressed.The opening sequence on a bus (you can see the bad coming from other cinematic bus rides such as in Nobody) is rousing and entertaining. It has a fight sequence I laughed through because of its ballet-like composition but satisfying because it sets up character and motivation.When things get heavy, and they do because Sean must confront and potentially kill his 1000-year-old mobster dad, Wenwu, Awkwafina's Katy, Sean's girlfriend, is there with amusing one-liners throughout the adventure, right down to a life-saving shot in the big ending battle scene.Director Destin Daniel Cretton deftly orchestrates his fights and his characters' lines with the authority of a much more seasoned filmmaker. He never loses sight of the central motif-the affirmation of family primacy, so that the potential chaos of a giant cast and multiple plot strands hosts a unity glued by character and dialogue.Shang-Chi is a Marvel for the whole family and especially the cinephiles curious how The Marvel Cinematic Universe can be so diverse, so entertaining, and so perfect a purveyor of our heroic fantasies.",negative
13,"Serviceable. That's the word that came to my mind as I left the theatre. Not sure if that's a great pull-quote for the BluRay release, but it'd be mine.Don't get me wrong, I liked this. I had fun and found few things, if at all, that I disliked. But since this is basically Black Panther Jr, it made me appreciate Chadwick Boseman's Similar Origin Story WAAAY more.I had to think about that when I got out of this. Why did I suddenly think the average rating I gave to Black Panther was better than this and then it hit me: Simu Liu can't act nor does he have charisma. Chadwick Boseman on the other hand, had both talents IN SPADES.In fact, Black Panther's entire cast, including the villain, had both: better acting and 100x more charisma. But, again, the actors here gave it their all. No one was bad necessarily, well except for the lead.Meek valet driver Shaun gets attacked on his San Francisco bus commute to work and unbelievably fights back leading to his BFF & world via viral video knowing this mild-mannered passenger is anything but. So, off he goes to save his sister he believes is in danger from their evil dad. And a place in the world, and Avengers, he will find.I know the lead actor/title character from a TV show I just discovered: Kim's Convenience. Yes, Simu Liu's drop-dead gorgeous, but I never really got the impression he was a great actor on the show. I'd hope with a big screen movie he had to carry on his shoulders he'd suddenly show his depth. Nope. If anything, I know less of his talent than I did with the 1st season of his show I've seen so far.Now, his costars? Another story. I loved his Dad played by Tony Chiu-Wai Leung, definitely his BFF Katy by Awkwafina and I'll always love Michelle Yeoh, Ronny Chieng, Benedict Wong and the one who stole the whole movie and my favorite character: Trevor Slattery. (Don't look him up if you don't know who he is. Just take my word for it: he was the best and funniest character of this movie by a landslide.)And speaking of laughs, normally I don't like when they overload Marvel movies with humor. Both Iron Man 3 and Thor: Ragnarok were 80% comedies, 20% action - which is not the ratio I want my Superhero movies to be. Here, in Shang-Chi, it's toned down a ton and funny when used.The special effects were fine, the pacing was just right, the action was acceptable and I liked the heart shown in the third and best act of the feature. I would recommend it, but it's definitely in the lower half of the 25 MCU movies.Stay for the two end-credit scenes. They actually made them relevant to this movie's plot/Shang-Chi universe.***Final Thoughts: NO SPOILERS, but the best line was from Mr. Liu, himself: ""I'm not Korean!"" he laughs at his own joke. Taken out of context to avoid spoilers, but I wonder if anyone else caught this meaning. He's really Chinese but he plays a Korean in his TV show. I wonder if they threw that in if he ever got slack from his television portrayal. Either way, I thought it was hilarious.",negative
14,"Watch this in IMAX!!!! The entire movie has an expanded aspect ratio. You're watching about 70% of the image on normal screens, plus on way smaller screens with worse speakers. I promise, it's worth itWOWOWOWOWOW. This movie blew me away. I love it. A LOT. From beginning to end. Everything. I walked out of the movie so hyped, silent-screaming under my mask as i walked to the car. It's been a while since i walked out of a movie this happy. I have so much to say.I love the MCU (a lot), but there are a few things that are frequently lacking. One of them is good fight scenes. They always have awesome action scenes, but specifically fight scenes are usually pretty good, only great in a few movies like civil war and winter soldier. And in general, fight scenes in American movies pale in comparison to Asian cinema (Ip man, The Raid Redemption, anything Jackie Chan).The fight scenes in this movie.... how do i describe it... amazing martial arts that's fast but clear, filmed in creative and astonishing ways without a hint of shaky cam or quick cuts, against stunningly beautiful backdrops... phenomenal. And they continuously focus on the fights instead of cutting to a different scene after 10 seconds like i've noticed in the MCU.This is BY FAR the best fighting in the MCU and it's not even close. Has to be up there with the John Wick series and Netflix's Daredevil as some of the best we've seen in America lately. I loved the first major fight scene so much that i was worried it would be the best one of the movie, far too early. Lol. I be stupid sometimesAnother frequent flaw in the MCU is lack of compelling villain. Nope. Awesome awesome awesome. That's all i'll say.Another of my frequent complaints is that the musical scores, with some exceptions, don't stand out. I think they heard. They're on a good streak with the shows and Black Widow. It's not as amazing as the Loki score but i liked it. It felt unique to this new franchise.Still so much more to say, need to go faster. This is one of the best, maybe THE best, story in the MCU, especially the way it's told. I loved all the characters, i loved all the casting choices, i loved the performances. There are scenes of dialogue that gave me goosebumps. All the emotional moments hit. All the callbacks hit. There isn't anything that didn't work for me. There's no such thing as a perfect movie, but mannnnnn.Lmao i didn't mention the cinematography. Why would i wait this long? It's MESMERIZING. A lot. Throughout. It's candy for your eyes.It's also nice to see well-written comedy with jokes relevant to the scene and characters, that feels organic. As opposed to the ""insert joke here"" method we've been seeing more of, especially in Far From Home.What's the opposite of formulaic? That's this movie. I never knew what to expect next (helps that i didn't watch a single trailer, they ruin movies). Definitely doesn't feel like a typical MCU movie. It has it's own unique tone and feel and character.Continuing what i said in my headline, i have this thing where i get goosebumps and start tearing up, not from an emotional moment, but from a scene being so incredible, especially action scenes. Don't know why it happens, don't know if it happens to other ppl. Maybe it's partly because i can't risk blinking. That happened in this movie numerous times. Like ""this is the coolest thing i've ever seen in my life."" hyperbole, but mannnnnafter endgame finished phase 3 (yes i know spider-man), i was so happy and satisfied with the MCU. But i wasn't sure they could ever recapture that magic again. I knew i would watch everything and it would probably mostly be awesome. But i wasn't expecting top-tier stuff any more. Lol. I be stupid sometimes. I am ecstatic to have that notion obliterated. As of now, this is a top 6 MCU movie for me. WowAll in all, i adore this movie. You may wonder why i wouldn't give it a 10 after all this raving. 10s are super rare for me, only 13 of them, and i watch thousands of movies. Interstellar, inception, mad max fury road, etc. Movies that shouldn't even be called movies. My 9s are rare too, they are my favorite movies. 10s are my favorites of my favorites. Only superhero movies i've given 10s are dark knight, dark knight rises and civil war.If you're still reading, wow you're awesome! I think this is my longest review other than Interstellar.I'm still in such a good mood. I can't wait to watch it again, in IMAX. I want to wait a week so it feels fresher, but i might not be able to! (3 viewings, 9/2/2021, 9/5/2021, 9/22/2021)",negative
15,"Shang Chi was nowhere near the top of my most anticipated MCU films over the years but it just about surprised me more than any of their films to date. Loaded with pulse pounding action (most in camera for once), a friendship turned possible romance you genuinely care about, and a lead that you can absolutely see taking the place of someone like Chris Evans as the ""face"" of the MCU for years to come. What an absolutely brilliant work of art.9.2/10.",positive
16,"It was good. So far, it's in my top10 list of 2021 movies. However, I wasn't rly hooked up, jokes seemed to be outdated, some scenes were rushed. I liked visuals but that's it, I expected more from Marvel.",negative
17,"This movie features the lesser known Marvel superhero Shang-Chi, who's a former assassin from China hiding out in the USA. He goes back to China when assassins come after him, who are also after his sister. It turns out his father is the real Mandarin who sadly doesn't get to meet Iron Man. His impersonator from ""Iron Man 3"", played by Ben Kingsley is there and is a lot of fun. It's a nice throwback to the older Marvel films and a good way to satisfy the fans. I like how there's two people of the same gender who are not love interests.We get some absolutely amazing fight scenes which seem right out of a classic Chinese martial arts movie. My only complaint is that it is a bit too long. It's still amazing with gorgeous designs of the creatures. It truly is a unique film to have a mostly all-Asian cast in a superhero movie. I recall an interview when the actor said a lot of Chinese people are called Bruce Lee. That makes the documentary ""The Problem With Apu"" even more idiotic. ***1/2.",positive
18,"With no real concept of the character or the story, I didn't really know what to expect from Shang-Chi and the Legend of the Ten Rings. I was pleasantly surprised. This Marvel action film is above average, and features impressive visuals, engaging action scenes, and entertaining characters. There are some missing pieces in the story, which they may be saving for later, but overall, I enjoyed this introduction to a new MCU superhero.",negative
19,"Daniel Destin Cretton created a tranquil really well filmed marvel story driven fun time! Simu Liu and a surprise character were the best along Awkwafina which is always delightful. I really appreciate the direction of everything especially the effects, action, cinematography, and the silliness is good! Might be odd or understandable this is one of the best marvel films.",positive
20,"""Shang-Chi and the Legend of the Ten Rings"" is an Action - Fantasy movie in which we watch a new era of Marvel Studios rise with Shang-Chi, the master of Kung Fu. He has to face his past involving him with the Ten Rings organization and crate his future accordingly.I have to admit that I had my doubts about this movie but I was proven very wrong since it's an amazing movie. It has a beautiful and very interesting plot that keeps you in tense through its whole duration consisted of plenty of action and nice CGIs. For one more time Marvel succeeded on creating a nice atmosphere and connecting the previous movies with this one with many Easter Eggs so, we expect more in the near future. The interpretation of Simu Liu who played as Shaun / Shang-Chi was simply outstanding and he made the difference. Some other interpretations that have to be mentioned were Tony Chiu-Wai Leung's who played as Xu Wenwu, Michelle Yeoh's who played as Ying Nan, Meng'er Zhang's who played as Xialing and Awkwafina's who played as Katy. The comic relief role of Ben Kingsley as Trevor Slattery was a brilliant idea that also gave something different in the movie. Finally, I have to say that ""Shang-Chi and the Legend of the Ten Rings"" is an amazing movie and I strongly recommend everyone to watch it, especially the fans of Marvel.",positive
21,"5 out of 5 stars.Shang-Chi and the legend of the Ten Rings is an awesome and exciting mcu film that brings the stunning world with the asian culture. I will say i enjoyed this more than the previous mcu film Black Widow. Shang Chi introduces a new mcu character played by Simu Liu. And Awkwafina which is also a fun addition. While they are being chased by an organization called ten rings. Lead by his father Tony Leung. While Shang Chi learns his abilities and the ten rings. Before his father is trying to use that power for a personal reason.Great epic plot. Shang Chi and Katy (Awkwafina) enter a hidden world Ta Lao where there is magical mythical creatures. Is like a wow stunning moment when you first see Wakanda in Black Panther. The film does give an emotional story build up and a villain that can be relatable.The cast ensemble is great. Simu Liu did great with the character along with Awkwafina as his friend. Meng'er Zhang, Michelle Yeoh, Benedict Wong, Florian Munteanu, and Tong Leung all did great.The set designs and visual effects are stunning and great. Can be colorful at moments. The music score was good as well. The action sequences are great and exciting. Every set piece had an awesome martial arts choreography which was well shot with the cinematography. Director did a great job in capturing the action and fight sequences. Even with the epic climax of the dragon battle.There are two mid and post credit scene which sets up for further films and has a fun nod to the mcu.I will say Shang Chi is a great exciting addition and i found the film to be very fast moving. Action packed. And a great family conflict story that is emotionally driven.",positive
